CH          CH4                     C2H4        H                                   1.05E-10    -1.04     36.0   23.  300.  5 A NN
CH          NO                      OCN         H                                   4.10E-11     0.00      0.0  298.  298.  5 A NN
N           CH2                     HNC         H                                   3.95E-11     0.17      0.0   10.  300.  5 B NN
N           NH                      N2          H                                   4.98E-11     0.00      0.0   10. 1400.  5 A NN
N           CH3                     H2CN        H                                   7.40E-11     0.26      8.4   10. 2000.  5 A NN
N           OH                      NO          H                                   7.50E-11    -0.18      0.0   10.  100.  5 A NN
N           C2H                     C2N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
N           HCO                     OCN         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           SiH                     SiN         H                                   1.66E-10    -0.09      0.0   10.  300.  5 C NN
N           PH                      PN          H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
N           C3H                     C3N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
N           C3H2                    HC3N        H                                   1.00E-13     0.00      0.0   10.  300.  5 C NN
CH2         CH2                     C2H3        H                                   3.32E-11     0.00      0.0 1600. 2300.  5 A NN
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
CH2         S                       HCS         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
NH          NH                      N2          H           H                       1.16E-09     0.00      0.0  298.  298.  5 A NN
NH          O                       NO          H                                   1.16E-10     0.00      0.0  250. 3000.  5 A NN
NH          NO                      N2          O           H                       5.00E-11     0.00      0.0  300. 2500.  5 C NN
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0   10. 2500.  5 A NN
O           NH2                     HNO         H                                   4.56E-11     0.00    -10.0  200. 3000.  5 A NN
O           C2H3                    CH2CO       H                                   1.60E-10     0.00      0.0   10. 2500.  5 A NN
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0   10. 2500.  5 A NN
O           SiH                     SiO         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0 1750. 2575.  5 A NN
O           PH                      PO          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           PH2                     HPO         H                                   8.00E-11     0.00      0.0   10.  300.  5 C NN
O           HCS                     OCS         H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
O           CH2PH                   PH2         CO          H                       4.00E-11     0.00      0.0   10.  300.  5 C NN
C2H         CS                      C3S         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
S           HS                      S2          H                                   4.50E-11     0.00      0.0   10.  300.  5 C NN
O           OH                      O2          H                                   3.50E-11     0.00      0.0   39.  142.  5 A NN
H2+         He                      HeH+        H                                   1.30E-10     0.00      0.0   10.41000.  5 A IN
H2+         N                       NH+         H                                   1.90E-09     0.00      0.0   10.41000.  5 C IN
H3+         O                       H2O+        H                                   3.60E-10     0.00      0.0   10.41000.  5 B IN
He+         CH4                     CH3+        He          H                       8.50E-11     0.00      0.0   10.41000.  5 A IN
He+         H2O                     OH+         He          H                       2.86E-10    -0.50      0.0   10.41000.  5 A IN
He+         HF                      F+          H           He                      1.10E-08    -0.50      0.0   10.41000.  5 A IN
He+         HCN                     CN+         He          H                       1.46E-09    -0.50      0.0   10.41000.  5 A IN
He+         HNC                     CN+         He          H                       5.00E-10    -0.50      0.0   10.41000.  5 C IN
He+         HCl                     Cl+         He          H                       3.30E-09    -0.50      0.0   10.41000.  5 A IN
He+         HNSi                    SiN+        He          H                       2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         SiC2H2                  SiC2H+      He          H                       1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
C+          NH3                     H2NC+       H                                   1.75E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
C+          HF                      CF+         H                                   7.20E-09    -0.50      0.0   10.41000.  5 A IN
C+          C2H2                    C3H+        H                                   2.20E-09     0.00      0.0   10.41000.  5 A IN
C+          HCN                     CNC+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 A IN
C+          HNC                     C2N+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 C IN
C+          H2S                     HCS+        H                                   1.40E-09    -0.50      0.0   10.41000.  5 A IN
C+          HCl                     CCl+        H                                   1.10E-09    -0.50      0.0   10.41000.  5 A IN
C+          HNSi                    SiNC+       H                                   2.00E-09     0.00      0.0   10.41000.  5 C IN
C+          HCP                     CCP+        H                                   5.00E-10     0.00      0.0   10.41000.  5 C IN
C+          SiC2H2                  SiC3H+      H                                   2.00E-09    -0.50      0.0   10.41000.  5 C IN
N           CH3+                    H2NC+       H                                   6.70E-11     0.00      0.0   10.41000.  5 A IN
N           C2H4+                   CH3CN+      H                                   3.00E-10     0.00      0.0   10.41000.  5 B IN
N           SiH+                    SiN+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
N           SiH2+                   HNSi+       H                                   1.00E-10     0.00      0.0   10.41000.  5 C IN
N           HS+                     NS+         H                                   7.40E-10     0.00      0.0   10.41000.  5 C IN
N           H2C3H+                  HC3NH+      H                                   1.30E-10     0.00      0.0   10.41000.  5 C IN
CH2+        H2O                     H3CO+       H                                   1.20E-09    -0.50      0.0   10.41000.  5 A IN
CH3+        O                       H2CO+       H                                   4.00E-11     0.00      0.0   10.41000.  5 A IN
CH3+        P                       PCH2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           OH+                     O2+         H                                   7.10E-10     0.00      0.0   10.41000.  5 C IN
O           SiH+                    SiO+        H                                   4.00E-10     0.00      0.0   10.41000.  5 C IN
O           SiH2+                   SiOH+       H                                   6.30E-10     0.00      0.0   10.41000.  5 C IN
O           SiH3+                   H2SiO+      H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
O           PH+                     PO+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           HS+                     SO+         H                                   2.90E-10     0.00      0.0   10.41000.  5 C IN
O           HCS+                    OCS+        H                                   5.00E-12     0.00      0.0   10.41000.  5 C IN
CH4         H2CO+                   CH3CHOH+    H                                   1.65E-11     0.00      0.0   10.41000.  5 A IN
CH4         PH+                     PCH4+       H                                   5.50E-11     0.00      0.0   10.41000.  5 A IN
CH4         O2+                     HCOOH2+     H                                   3.80E-12    -1.80      0.0   10.  300.  5 C IN
CH4         S+                      H3CS+       H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
OH          S+                      SO+         H                                   6.10E-10    -0.50      0.0   10.41000.  5 C IN
NH3         Si+                     SiNH2+      H                                   6.40E-10    -0.50      0.0   10.41000.  5 B IN
H2O         Si+                     SiOH+       H                                   2.30E-10    -0.50      0.0   10.41000.  5 A IN
H2O         P+                      HPO+        H                                   4.95E-10    -0.50      0.0   10.41000.  5 A IN
H2O         PH+                     H2PO+       H                                   2.04E-10    -0.50      0.0   10.41000.  5 A IN
H3O+        Na                      Na+         H2O         H                       3.10E-09     0.00      0.0   10.41000.  5 C IN
HF          Si+                     SiF+        H                                   5.70E-09    -0.50      0.0   10.41000.  5 A IN
Na          HCNH+                   HCN         Na+         H                       1.35E-09     0.00      0.0   10.41000.  5 C IN
Na          H3CO+                   H2CO        Na+         H                       2.60E-09     0.00      0.0   10.41000.  5 C IN
C2H2        Si+                     SiC2H+      H                                   2.50E-10     0.00      0.0   10.41000.  5 A IN
